Code2.ordinal,Code2.onset,Code2.offset,Code2.code01,code.ordinal,code.onset,code.offset,code.code01,
0,45390,0,"B",0,45186,0,"B",
1,45424,45628,"LB",1,45322,0,"LB",
2,45764,45968,"RT",2,45934,0,"RT",
3,46036,47464,"LT",3,46240,0,"LT",
4,47634,47804,"RB",4,46750,0,"LB",
5,47804,48076,"RT",5,47498,0,"RB",
6,48246,48926,"LB",6,47736,0,"RT",
7,49300,49776,"RB",7,48280,0,"LB",
8,49980,51476,"LB",8,49096,0,"RB",
9,51510,51952,"RT",9,50082,0,"LB",
10,51986,52394,"LT",10,51272,0,"RT",
11,52428,0,"S",11,51986,0,"S",
12,53618,0,"B",12,53890,0,"B",
13,53890,54298,"RT",13,54502,0,"LB",
14,54400,55148,"LB",14,55454,0,"RB",
15,55216,55590,"RB",15,56236,0,"LT",
16,55828,55964,"RT",16,60622,0,"S",
17,56202,56372,"LT",17,61846,0,"B",
18,56440,60690,"RT",18,62900,0,"LT",
19,60690,0,"S",19,63478,0,"RB",
20,62084,0,"B",20,63648,0,"LB",
21,62254,62968,"RT",21,64192,0,"RT",
22,63172,63512,"LT",22,69190,0,"S",
23,63580,63716,"RB",23,70482,0,"B",
24,63750,64192,"LB",24,77690,0,"S",
25,64226,69156,"RT",25,78778,0,"B",
26,69156,0,"S",26,80240,0,"LB",
27,70482,0,"B",27,86241,0,"S",
28,70618,77690,"RT",28,86949,0,"B",
29,77690,0,"S",29,87448,0,"RT",
30,78744,0,"B",30,87754,0,"LB",
31,80172,86292,"LB",31,94384,0,"S",
32,86292,0,"S",32,95370,0,"B",
33,87142,0,"B",33,96628,0,"RB",
34,87516,87924,"RT",34,102612,0,"S",
35,87924,94418,"LB",35,103734,0,"B",
36,94418,0,"S",36,103938,0,"RB",
37,95030,0,"B",37,104040,0,"LB",
38,95472,97002,"RT",38,104584,0,"LT",
39,97036,102408,"RB",39,105162,0,"RB",
40,102408,0,"S",40,111078,0,"S",
41,103496,0,"B",41,111996,0,"B",
42,103768,104040,"RB",42,112574,0,"RB",
43,104074,104856,"LB",43,112880,0,"LT",
44,104856,105196,"LT",44,114070,0,"RB",
45,105264,111044,"RB",45,114682,0,"LB",
46,111044,0,"S",46,114954,0,"RT",
47,112030,0,"B",47,119272,0,"S",
48,112540,112778,"RB",48,120224,0,"B",
49,112846,113152,"LT",49,120666,0,"LT",
50,113118,114104,"RT",50,121380,0,"LB",
51,114206,115022,"RB",51,122366,0,"RB",
52,115056,115226,"LB",52,122672,0,"RT",
53,115294,119340,"RT",53,123012,0,"RB",
54,119340,0,"S",54,125358,0,"LB",
55,120326,0,"B",55,127670,0,"S",
56,120768,121448,"LT",56,128452,0,"B",
57,121482,121618,"LB",57,129200,0,"RB",
58,121686,122502,"RB",58,130084,0,"LB",
59,122570,122978,"RT",59,130288,0,"LT",
60,122978,125256,"RB",60,130832,0,"RB",
61,125290,125460,"LB",61,135116,0,"S",
62,125494,0,"RB",,,,,
63,127534,0,"S",,,,,
