code.ordinal,code.onset,code.offset,code.code01,
0,46172,0,"B",
1,46206,46240,"RB",
2,46308,47600,"LB",
3,47634,47838,"RB",
4,47872,48144,"RT",
5,48178,48348,"LT",
6,48518,49300,"LB",
7,49334,50014,"RB",
8,50048,51578,"LB",
9,51612,52054,"RT",
10,52088,52428,"LT",
11,52462,0,"S",
12,53754,0,"B",
13,54026,54434,"RT",
14,54468,55148,"LB",
15,55352,55896,"RB",
16,55964,55998,"RT",
17,56032,56474,"LT",
18,56542,60792,"RT",
19,60826,0,"S",
20,62084,0,"B",
21,62424,63138,"RT",
22,63172,63580,"LT",
23,63648,63852,"RB",
24,63886,64226,"LB",
25,64260,69224,"RT",
26,69258,0,"S",
27,70482,0,"B",
28,70686,77622,"RT",
29,77656,0,"S",
30,78744,0,"B",
31,78846,80138,"RT",
32,80172,86122,"LB",
33,86190,0,"S",
34,87142,0,"B",
35,87210,87516,"LB",
36,87550,87788,"RT",
37,87890,94316,"LB",
38,94350,0,"S",
39,95370,0,"B",
40,95676,96628,"RT",
41,96662,102510,"RB",
42,102544,0,"S",
43,103734,0,"B",
44,103938,104108,"RB",
45,104142,104890,"LB",
46,104924,105230,"LT",
47,105400,111078,"RB",
48,111112,0,"S",
49,112132,0,"B",
50,112642,112846,"RB",
51,112880,113322,"LT",
52,113356,114206,"RT",
53,114240,115090,"RB",
54,115124,115294,"LB",
55,115362,119340,"RT",
56,119374,0,"S",
57,120394,0,"B",
58,120768,121210,"LT",
59,121516,121822,"LB",
60,121856,122536,"RB",
61,122604,122978,"RT",
62,123012,125324,"RB",
63,125358,125596,"LB",
64,125664,127466,"RB",
65,127602,0,"S",
